,MuonEnergy,RecoE
339,605.544,645.279
340,962.292,920.623
341,1189.220,707.428
342,874.200,884.663
343,591.358,552.803
344,1197.730,1241.217
345,1277.510,1253.690
346,696.104,666.231
347,956.824,895.803
348,666.984,704.016
349,583.435,753.098
350,794.837,797.035
351,884.488,902.174
352,930.678,798.023
353,767.998,732.252
354,647.009,669.343
355,906.427,784.089
356,1220.010,1165.784
357,1724.820,1463.027
358,965.602,1014.298
359,1551.470,1503.399
360,896.428,981.589
361,440.295,500.462
362,1444.440,1265.266
363,903.324,958.768
364,677.392,711.699
365,1265.320,1282.395
366,601.863,631.383
367,1192.710,1377.265
368,762.744,781.706
369,463.450,522.696
370,879.226,856.012
371,902.482,866.218
372,828.535,846.113
373,1210.290,1450.673
374,1139.460,1115.832
375,1106.280,1246.384
376,1117.580,1077.879
377,826.702,801.250
378,615.613,592.034
379,758.250,803.786
380,1114.690,1105.064
381,793.104,954.708
382,1443.770,1321.195
383,776.653,747.493
384,1253.100,1226.758
385,1074.850,1088.754
386,736.299,797.886
387,1065.020,1091.188
388,640.335,768.049
389,1026.100,1067.918
390,676.595,719.099
391,1120.790,980.508
392,762.877,729.906
393,487.348,491.298
394,1351.120,1024.562
395,1022.510,1086.101
396,1415.890,1295.104
397,1379.110,1331.711
398,844.475,880.879
399,954.055,914.871
400,1212.300,1383.420
401,629.013,629.608
402,555.882,555.849
403,922.700,922.631
404,1573.330,1290.769
405,799.325,806.020
406,1257.500,1257.510
407,1559.250,1234.357
408,1198.970,1199.071
409,1420.250,1420.254
410,1021.910,1022.006
411,1119.170,1064.217
412,672.775,672.805
413,659.379,659.374
414,1904.230,1491.899
415,394.023,511.123
416,691.117,691.112
417,773.202,815.011
418,1629.520,1414.236
419,1435.740,756.937
420,1425.180,1425.242
421,1083.110,1064.231
422,1566.690,1510.203
423,660.977,660.985
424,1377.050,1534.474
425,1137.830,1115.887
426,898.976,850.372
427,1267.890,1393.070
428,977.325,977.597
429,472.398,472.311
430,795.928,795.926
431,1370.980,1513.023
432,1076.420,1047.040
